Ruler,x1,y1,x2,y2,,,,,,,,,,,,,,,,,,,,,,,,,,
F1Pre,781,801,1030,807,,,,,,,,,,,,,,,,,,,,,,,,,,
F1Post,782,800,1031,806,,,,,,,,,,,,,,,,,,,,,,,,,,
F2Pre,782,801,1031,808,,,,,,,,,,,,,,,,,,,,,,,,,,
F2Post,781,800,1031,806,,,,,,,,,,,,,,,,,,,,,,,,,,
D1Pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1Post,781,801,1030,808,,,,,,,,,,,,,,,,,,,,,,,,,,
D2Pre,781,801,1030,809,,,,,,,,,,,,,,,,,,,,,,,,,,
D2Post,781,800,1031,808,,,,,,,,,,,,,,,,,,,,,,,,,,
,781.2857143,800.5714286,1030.571429,807.4285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pixels,249.3800067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pix/CM,24.93800067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fingers1,,,,,,,,,,,,,,,,Dorsum1,,,,,,,,,,,,,,
Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,,,Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,
,x,y,x,y,x,y,x,y,x,y,x,y,x,y,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
Thumb-Knuckle,526,423,524,416,525,419.5,510,225,507,227,507,221,508,224.3333333,,1,727,502,730,500,728.5,501,423,560,328,479,467,470,406,503
Thumb-Tip,374,502,374,506,374,504,338,374,204,256,237,192,259.6666667,274,,2,650,476,655,474,652.5,475,265,440,370,459,428,406,354.3333333,435
Index-Knuckle,612,578,605,576,608.5,577,414,413,526,356,475,310,471.6666667,359.6666667,,3,760,429,764,428,762,428.5,409,513,627,490,,,518,501.5
Index-Tip,513,809,516,805,514.5,807,310,616,280,532,256,491,282,546.3333333,,4,689,398,693,395,691,396.5,372,348,518,351,452,328,447.3333333,342.3333333
Middle-Knuckle,673,582,667,584,670,583,469,449,562,394,537,419,522.6666667,420.6666667,,5,796,360,801,357,798.5,358.5,537,401,596,450,574,379,569,410
Middle-Tip,619,855,615,853,617,854,492,670,464,615,564,594,506.6666667,626.3333333,,6,725,322,730,324,727.5,323,391,354,427,296,500,337,439.3333333,329
