Ruler,x1,y1,x2,y2,,,,,,,,,,,,,,,,,,,,,,,,,,
F1Pre,781,803,1032,810,,,,,,,,,,,,,,,,,,,,,,,,,,
F1Post,781,802,1030,808,,,,,,,,,,,,,,,,,,,,,,,,,,
F2Pre,781,803,1031,810,,,,,,,,,,,,,,,,,,,,,,,,,,
F2Post,781,801,1030,807,,,,,,,,,,,,,,,,,,,,,,,,,,
D1Pre,781,802,1031,809,,,,,,,,,,,,,,,,,,,,,,,,,,
D1Post,782,801,1030,808,,,,,,,,,,,,,,,,,,,,,,,,,,
D2Pre,781,801,1031,807,,,,,,,,,,,,,,,,,,,,,,,,,,
D2Post,780,802,1030,808,,,,,,,,,,,,,,,,,,,,,,,,,,
,781,801.875,1030.625,808.375,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pixels,249.7096126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pix/CM,24.97096126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fingers1,,,,,,,,,,,,,,,,Dorsum1,,,,,,,,,,,,,,
Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,,,Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,
,x,y,x,y,x,y,x,y,x,y,x,y,x,y,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
Thumb-Knuckle,485,449,494,461,489.5,455,406,265,525,396,555,373,495.3333333,344.6666667,,1,678,510,677,506,677.5,508,657,440,656,440,783,355,698.6666667,411.6666667
Thumb-Tip,365,529,376,542,370.5,535.5,385,455,331,483,368,479,361.3333333,472.3333333,,2,594,499,596,496,595,497.5,364,341,460,401,550,302,458,348
Index-Knuckle,587,567,589,568,588,567.5,494,447,510,455,554,500,519.3333333,467.3333333,,3,690,430,691,426,690.5,428,565,294,720,396,766,428,683.6666667,372.6666667
Index-Tip,551,780,554,779,552.5,779.5,483,602,420,585,489,676,464,621,,4,619,411,620,409,619.5,410,478,415,573,297,707,180,586,297.3333333
Middle-Knuckle,645,562,645,563,645,562.5,589,553,567,510,627,469,594.3333333,510.6666667,,5,720,353,721,352,720.5,352.5,692,290,559,312,783,190,678,264
Middle-Tip,667,798,667,799,667,798.5,638,759,621,700,609,711,622.6666667,723.3333333,,6,647,334,648,332,647.5,333,454,258,552,186,671,89,559,177.6666667
Ring-Knuckle,691,544,691,546,691,545,659,481,663,407,677,432,666.3333333,440,,7,750,280,750,278,750,279,697,407,643,52,791,45,710.3333333,168
Ring-Tip,748,756,748,758,748,757,691,632,751,536,718,648,720,605.3333333,,8,686,253,687,250,686.5,251.5,559,113,482,200,704,93,581.6666667,135.3333333
Little-Knuckle,724,524,724,525,724,524.5,688,423,692,417,721,430,700.3333333,423.3333333,,,,,,,,,,,,,,,,
Little-Tip,833,636,835,638,834,637,787,516,797,440,773,490,785.6666667,482,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fingers2,,,,,,,,,,,,,,,,Dorsum2,,,,,,,,,,,,,,
Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,,,Actual Position,Pre Position,,Post Position,,Mean Position,,First Judgment,,Second Judgment,,Third Judgment,,Mean Judgment,
,x,y,x,y,x,y,x,y,x,y,x,y,x,y,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
Thumb-Knuckle,494,460,497,466,495.5,463,528,207,409,22,496,102,477.6666667,110.3333333,,1,678,507,678,503,678,505,601,366,587,442,725,590,637.6666667,466
Thumb-Tip,389,556,390,560,389.5,558,352,124,247,89,326,141,308.3333333,118,,2,595,495,596,492,595.5,493.5,451,349,396,399,614,573,487,440.3333333
Index-Knuckle,588,563,589,564,588.5,563.5,632,188,526,176,492,219,550,194.3333333,,3,690,426,690,421,690,423.5,538,372,620,345,594,545,584,420.6666667
Index-Tip,555,774,550,773,552.5,773.5,525,491,409,344,362,432,432,422.3333333,,4,620,393,616,404,618,448.5,467,372,332,350,369,296,389.3333333,339.3333333
Middle-Knuckle,645,556,645,559,645,557.5,526,395,546,242,526,281,532.6666667,306,,5,721,350,716,345,718.5,347.5,569,284,688,437,702,536,653,419
Middle-Tip,665,793,664,796,664.5,794.5,679,620,509,382,679,454,622.3333333,485.3333333,,6,647,332,640,328,643.5,330,517,238,376,333,440,219,444.3333333,263.3333333
Ring-Knuckle,689,540,690,541,689.5,540.5,723,482,546,99,687,226,652,269,,7,748,278,742,272,745,275,613,317,423,345,751,265,595.6666667,309
Ring-Tip,742,753,738,756,740,754.5,707,366,662,244,733,274,700.6666667,294.6666667,,8,686,250,676,245,681,247.5,599,59,506,263,639,372,581.3333333,231.3333333
Little-Knuckle,722,521,722,521,722,521,690,266,648,98,712,121,683.3333333,161.6666667,,,,,,,,,,,,,,,,
Little-Tip,823,642,824,643,823.5,642.5,844,298,704,126,642,193,730,205.6666667,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finger Length,,ActualPix,ActualCM,JudgedPix,JudgedCM,,Knuckle Spacings,,ActualPix,ActualCM,JudgedPix,JudgedCM,,,Along,,ActualPix,ActualCM,JudgedPix,JudgedCM,,Across,ActualPix,ActualCM,JudgedPix,JudgedCM,,,,
Fingers1,Thumb,143.6706303,5.753508196,185.080463,7.411827725,,Fingers1,Thumb-Index,149.5275894,5.988059005,124.9924442,5.005511919,,,Dorsum1,1-3,81.04936767,3.2457448,41.78516483,1.673350273,,1-2,83.16549765,3.330488434,248.9455541,9.969402118,,,,
,Index,214.9517388,8.608068249,163.32551,6.540617652,,,Index-Middle,57.218878,2.291416714,86.6185764,3.468772207,,,,2-4,90.8652849,3.638838087,137.6630347,5.512924922,,3-4,73.24616031,2.933253532,123.3445941,4.939521262,,,,
,Middle,237.0232056,9.491953599,214.5457734,8.591810751,,,Middle-Ring,49.21635907,1.970943712,100.884973,4.040091687,,,,3-5,81.24192268,3.253455957,108.8143169,4.357634283,,5-6,75.55957914,3.025897896,147.0185174,5.88757941,,,,
,Ring,219.5290414,8.79137327,173.8252635,6.961096198,,,Ring-Little,38.84906691,1.55576978,37.86525819,1.516371668,,,,4-6,81.93289938,3.281127167,122.6748186,4.912699086,,7-8,69.19898843,2.771178398,132.7487183,5.316123675,,,,
,Little,157.3411898,6.300966476,103.5546018,4.14700102,,,Index-Little,142.6359001,5.712070858,186.2713075,7.459516899,,,,5-7,79.19911616,3.171648674,101.298788,4.056663535,,,,,,,,,,
Fingers2,Thumb,142.3411395,5.700266723,169.5068009,6.788156817,,Fingers2,Thumb-Index,136.9279007,5.48348537,110.8517529,4.439226496,,,,6-8,90.35070559,3.618230978,48.01967189,1.92302056,,,,,,,,,,
,Index,213.0633709,8.532445693,256.7255344,10.28096322,,,Index-Middle,56.81769091,2.275350569,113.0039331,4.525413815,,,Dorsum2,1-3,82.3786987,3.298979877,70.2511368,2.813313275,,1-2,83.29765903,3.335781036,152.837241,6.120599017,,,,
,Middle,237.8008621,9.523096031,200.500762,8.029356976,,,Middle-Ring,47.63664556,1.907681689,124.9377623,5.003322098,,,,2-4,50.31152949,2.014801472,140.4983195,5.626468201,,3-4,76.21679605,3.052217144,210.9744587,8.448792039,,,,
,Ring,219.877807,8.805340118,55.02019831,2.203367253,,,Ring-Little,37.90118732,1.517810505,111.8133365,4.477734571,,,,3-5,81.16803558,3.250497037,69.02012589,2.764015577,,5-6,77.014609,3.084166773,260.3341869,10.42547719,,,,
,Little,158.3177185,6.34007305,64.13873851,2.568533019,,,Index-Little,140.1017487,5.610586925,137.2766873,5.497453058,,,,4-6,121.2126231,4.854143252,93.81364506,3.756909639,,7-8,69.65809357,2.78956396,78.97819671,3.162801619,,,,
,,,,,,,,,,,,,,,,5-7,77.19132076,3.091243463,124.0447948,4.967561861,,,,,,,,,,
,,,,,,,,,,,,,,,,6-8,90.6228448,3.629129206,140.6875972,5.634048113,,,,,,,,,,
